Cluster,gene_representative,pan_gene_class,product_name,frequency
Cluster 20572,562.22449.peg.3533,unique,Predicted transcriptional regulator of the myo-inositol catabolic operon_2,19
Cluster 20573,562.22452.peg.620,accessory,"Tagatose 1,6-bisphosphate aldolase (EC 4.1.2.40)_1",1243
Cluster 20575,562.22490.peg.4899,unique,Phage repressor protein cI_24,25
Cluster 20579,562.22627.peg.1514,unique,Propionate--CoA ligase (EC 6.2.1.17)_3,9
Cluster 20582,562.22653.peg.4230,accessory,"Manganese ABC transporter, inner membrane permease protein SitC_4",1593
Cluster 20588,562.22756.peg.301,core,RNase adapter protein RapZ_1,1970
Cluster 20598,562.23064.peg.5106,unique,Phage tape measure protein Mup42_24,35
Cluster 20606,562.23351.peg.3456,core,Sulfur carrier protein FdhD_2,1969
Cluster 20617,562.23827.peg.4610,unique,Phosphomannomutase (EC 5.4.2.8) => Colanic acid_21,6
Cluster 20622,562.42688.peg.1213,unique,"2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) / 3'-nucleotidase (EC 3.1.3.6)_11",15
Cluster 20625,562.42727.peg.2031,unique,Uncharacterized protein YidS_7,43
Cluster 20627,562.42752.peg.1353,unique,Glycerate kinase (EC 2.7.1.31)_11,16
Cluster 20632,562.42833.peg.672,unique,Outer membrane porin OmpF_42,18
Cluster 20649,562.12959.peg.2994,core,"L-cystine ABC transporter (wide substrate range), substrate-binding protein FliY_1",1965
Cluster 20651,562.12959.peg.2601,core,Naphthoate synthase (EC 4.1.3.36)_1,1970
Cluster 20652,562.12959.peg.4559,core,Isochorismatase (EC 3.3.2.1) [enterobactin] siderophore / Apo-aryl carrier domain of EntB @ Isochorismatase (EC 3.3.2.1) of siderophore biosynthesis_1,1970
Cluster 20653,562.12959.peg.2710,core,Endonuclease IV (EC 3.1.21.2)_1,1970
Cluster 20654,562.12960.peg.2743,accessory,"Transcriptional regulator MurR, RpiR family_1",773
Cluster 20655,562.12960.peg.3274,unique,"PTS system, D-glucosaminate-specific IID component_1",95
Cluster 20656,562.12960.peg.960,accessory,Formate efflux transporter FocA_2,601
Cluster 20658,562.12961.peg.794,accessory,"3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)_1",381
Cluster 20659,562.12961.peg.522,core,Phosphatidate cytidylyltransferase (EC 2.7.7.41)_1,1970
Cluster 20668,562.16324.peg.1957,unique,Transposase_24,21
Cluster 20670,562.16325.peg.4553,unique,Uncharacterized protein YadU in stf fimbrial cluster_3,35
Cluster 20672,562.22430.peg.1451,accessory,Uncharacterized protein YadU in stf fimbrial cluster_6,471
Cluster 20673,562.22434.peg.2415,unique,Phage DNA adenine methylase (EC 2.1.1.72)_2,137
Cluster 20676,562.22436.peg.4045,unique,Phage DNA replication protein O_11,127
Cluster 20677,562.22439.peg.2884,accessory,Gamma-D-Glutamyl-meso-Diaminopimelate Amidase_1,1713
Cluster 20678,562.22453.peg.4679,unique,Thiol:disulfide involved in conjugative transfer_3,8
Cluster 20681,562.22462.peg.1105,accessory,Uncharacterized protein YadU in stf fimbrial cluster_13,365
Cluster 20682,562.22467.peg.5026,unique,Phage protein ea31_2,78
Cluster 20684,562.22482.peg.4296,unique,Protein AraJ precursor_2,19
Cluster 20686,562.22508.peg.5042,unique,Transposase_116,37
Cluster 20689,562.22538.peg.53,accessory,Putative mannosyl-3-phosphoglycerate phosphatase (EC 3.1.3.70)_1,1501
Cluster 20696,562.22591.peg.223,unique,dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)_6,5
Cluster 20702,562.22653.peg.4218,unique,"Zinc ABC transporter, permease protein ZnuB_4",10
Cluster 20705,562.22689.peg.5160,unique,NgrB_5,76
Cluster 20713,562.22834.peg.2637,accessory,Lipopolysaccharide core biosynthesis protein RfaZ_5,349
Cluster 20715,562.22836.peg.3926,unique,Replication protein_14,21
Cluster 20716,562.22836.peg.5168,unique,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)_50,8
Cluster 20718,562.22862.peg.1609,accessory,"Oxidoreductase, short-chain dehydrogenase/reductase family_24",1490
Cluster 20720,562.22890.peg.3411,unique,Replication protein RepA_4,19
Cluster 20726,562.23364.peg.2426,unique,"CRISPR-associated protein, Cse1 family_9",5
Cluster 20728,562.23459.peg.2100,unique,ShiA homolog_12,109
Cluster 20730,562.23469.peg.5197,unique,PilV-like protein_8,6
Cluster 20734,562.23603.peg.4077,core,Glutamate racemase (EC 5.1.1.3)_3,1970
Cluster 20744,562.42664.peg.5481,accessory,Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id_11,592
Cluster 20745,562.42679.peg.3243,core,tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase (EC 2.1.1.223)_5,1958
Cluster 20747,562.42741.peg.5083,unique,Bacteriophage eliminase_32,65
Cluster 20753,562.42838.peg.1817,unique,RatA homolog_32,8
Cluster 20755,562.7566.peg.1,unique,Phage integrase_193,9
Cluster 20756,562.7577.peg.3026,unique,Uncharacterized transporter YeeO_16,6
Cluster 20759,562.7626.peg.4086,unique,Mobile element protein_1406,5
Cluster 20767,562.7734.peg.5208,accessory,putative factor_14,327
Cluster 20768,562.7785.peg.31,accessory,Nickel/cobalt efflux transporter RcnA_10,1867
Cluster 20770,562.12959.peg.3198,core,"Putative oxidoreductase YeaE, aldo/keto reductase family_1",1960
Cluster 20771,562.12959.peg.1377,accessory,"Tagatose-1,6-bisphosphate aldolase GatY (EC 4.1.2.40)_1",1276
Cluster 20773,562.12959.peg.4828,accessory,"Reactive-chlorine-species-specific transcriptional activator RclR, AraC family_1",1940
Cluster 20774,562.12959.peg.3746,core,2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)_1,1970
Cluster 20775,562.12959.peg.774,core,RNA polymerase sigma factor RpoH_1,1970
Cluster 20776,562.12959.peg.5040,core,AmpE protein_1,1954
Cluster 20777,562.12959.peg.3394,accessory,Anaerobic selenate reductase protein YnfH_1,1836
Cluster 20778,562.12959.peg.4642,core,FIG000875: Thioredoxin domain-containing protein EC-YbbN_1,1969
Cluster 20779,562.12959.peg.282,accessory,L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22)_1,407
Cluster 20788,562.12961.peg.574,core,Pantoate--beta-alanine ligase (EC 6.3.2.1)_1,1970
Cluster 20791,562.16466.peg.3390,unique,Phage capsid scaffolding protein GpO_6,13
Cluster 20792,562.17621.peg.2091,accessory,Phage capsid scaffolding protein GpO_7,556
Cluster 20794,562.17722.peg.4704,unique,Transposase_36,44
Cluster 20795,562.20499.peg.4962,unique,Transposase_43,10
Cluster 20798,562.22432.peg.5180,accessory,"IS, phage, Tn; Transposon-related functions_9",195
Cluster 20799,562.22433.peg.2343,accessory,"PTS system, gluconate-specific IID component_1",301
Cluster 20803,562.22450.peg.4905,unique,"Zinc ABC transporter, permease protein ZnuB_3",8
Cluster 20804,562.22453.peg.589,unique,Uncharacterized protein YadU in stf fimbrial cluster_11,20
Cluster 20809,562.22488.peg.4849,accessory,c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeG_7,1043
Cluster 20810,562.22490.peg.4655,unique,Phage capsid scaffolding protein GpO_12,32
Cluster 20811,562.22507.peg.2641,unique,rha protein_5,67
Cluster 20812,562.22510.peg.5058,accessory,Transposase_117,445
Cluster 20813,562.22510.peg.1876,unique,"Trimethylamine-N-oxide reductase (EC 1.7.2.3), TorZ_3",88
Cluster 20817,562.22572.peg.948,accessory,Phage capsid scaffolding protein GpO_16,359
Cluster 20823,562.22643.peg.3075,unique,Putative polyferredoxin_1,18
Cluster 20825,562.22664.peg.4067,unique,Putative molybdenum transport ATP-binding protein modF_3,25
Cluster 20827,562.22692.peg.3543,unique,Uncharacterized protein YagM_1,12
Cluster 20831,562.22748.peg.4825,accessory,Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)_6,366
Cluster 20833,562.22767.peg.5158,unique,Phage DNA replication protein O_42,11
Cluster 20837,562.22840.peg.3900,accessory,colicin/pyosin nuclease family protein_4,509
Cluster 20839,562.22856.peg.645,unique,Phage EaA protein_52,9
Cluster 20840,562.22858.peg.804,unique,Putative lipoprotein AcfD-like_8,7
Cluster 20846,562.23221.peg.4675,accessory,Phage DNA replication protein O_65,365
Cluster 20849,562.23288.peg.4876,unique,"Phage tail, tail length tape-measure protein H_69",7
Cluster 20861,562.23840.peg.4779,accessory,Resolvase_50,1087
Cluster 20862,562.28389.peg.4394,accessory,"PTS system, sorbose-specific IID component_4",1643
Cluster 20863,562.28810.peg.543,unique,"Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (GLYCOGENASE)_15",6
Cluster 20864,562.28810.peg.4525,core,"Transcriptional regulator GadX, AraC family_6",1943
Cluster 20871,562.42641.peg.1715,unique,Helix-turn-helix motif_10,8
Cluster 20873,562.42740.peg.3892,unique,Multidrug resistance outer membrane protein MdtP_9,8
Cluster 20880,562.42856.peg.3556,unique,"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)_9",15
Cluster 20881,562.42857.peg.4790,core,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)_1,1970
Cluster 20887,562.7579.peg.470,unique,"Acyl-CoA:acetate CoA-transferase, alpha subunit (EC 2.8.3.8) / Acyl-CoA:acetate CoA-transferase, beta subunit (EC 2.8.3.8) @ Acyl-CoA:acetate CoA transferase (EC 2.8.3.8)_12",10
Cluster 20888,562.7623.peg.1897,unique,"Soluble aldose sugar dehydrogenase, PQQ-dependent (EC 1.1.5.-)_10",5
Cluster 20891,562.7658.peg.5197,unique,Phage major capsid protein GpN_48,10
Cluster 20892,562.7687.peg.159,unique,Uncharacterized protein YadU in stf fimbrial cluster_33,6
Cluster 20895,562.7734.peg.5398,unique,Phage capsid and scaffold_36,7
Cluster 20897,562.12959.peg.4971,core,Translation elongation factor Ts_1,1970
Cluster 20898,562.12959.peg.3159,core,"PTS system, mannose-specific IID component_1",1968
Cluster 20900,562.12959.peg.996,accessory,Fructose-bisphosphate aldolase class II (EC 4.1.2.13) homolog_1,1404
Cluster 20901,562.12959.peg.4835,accessory,"Oxidoreductase, aldo/keto reductase family_1",1518
Cluster 20902,562.12959.peg.2456,core,Pyridoxal kinase (EC 2.7.1.35)_2,1965
Cluster 20904,562.12960.peg.2113,accessory,D-lactate dehydratase (EC 4.2.1.130)_1,821
Cluster 20907,562.12961.peg.1184,core,Glycerol uptake facilitator protein_1,1966
Cluster 20908,562.12961.peg.4940,unique,"Maltodextrin ABC transporter, permease protein MdxG_2",6
Cluster 20909,562.13502.peg.3689,accessory,Putative transposase InsK for insertion sequence element IS150_5,542
Cluster 20916,562.22452.peg.765,unique,Alpha-fimbriae tip adhesin_4,42
Cluster 20917,562.22452.peg.295,unique,Uncharacterized glycyl radical protein YjjI_4,23
Cluster 20918,562.22454.peg.1982,unique,Uncharacterized symporter YidK_1,17
Cluster 20920,562.22464.peg.1661,unique,Putative alpha helix chain_4,14
Cluster 20922,562.22511.peg.1237,unique,Uncharacterized protein YabP_2,104
Cluster 20923,562.22532.peg.3650,unique,rha protein_7,9
Cluster 20926,562.22653.peg.4226,unique,FIG160851: peptidase_1,11
Cluster 20929,562.22700.peg.632,unique,Uncharacterized protein YadU in stf fimbrial cluster_18,38
Cluster 20937,562.22872.peg.873,unique,Phage DNA replication protein P_11,111
Cluster 20938,562.22885.peg.3380,unique,"Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (GLYCOGENASE)_9",99
Cluster 20939,562.22896.peg.4311,unique,Z1226 protein_31,6
Cluster 20952,562.23283.peg.4755,unique,DNA packaging_4,14
Cluster 20955,562.23330.peg.2044,unique,Deubiquitinating protease ElaD_12,23
Cluster 20965,562.23608.peg.4157,unique,Chromosome (plasmid) partitioning protein ParA_15,5
Cluster 20966,562.23621.peg.2993,unique,Primosomal protein I_14,140
Cluster 20971,562.28810.peg.1083,unique,Type IV fimbrial assembly protein PilC_9,5
Cluster 20978,562.42639.peg.5170,accessory,Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein_7,639
Cluster 20985,562.42818.peg.4062,core,3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2)_4,1965
Cluster 20987,562.42843.peg.4680,unique,S-formylglutathione hydrolase (EC 3.1.2.12)_11,13
Cluster 20997,562.7653.peg.2548,accessory,DNA-damage-inducible protein D_20,1263
Cluster 21007,562.12959.peg.2084,core,NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13)_1,1968
Cluster 21008,562.12959.peg.911,core,"Transcriptional regulator yiaJ, IclR family_1",1946
Cluster 21010,562.12959.peg.1454,core,Dihydropteroate synthase (EC 2.5.1.15)_1,1968
Cluster 21014,562.12961.peg.2033,core,Phospholipid ABC transporter ATP-binding protein MlaF_1,1970
Cluster 21015,562.12961.peg.363,accessory,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (EC 4.7.1.1)_1,1941
Cluster 21018,562.13502.peg.387,unique,Uncharacterized protein YfbP_1,101
Cluster 21019,562.16326.peg.434,unique,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA (EC 1.3.1.1)_2,5
Cluster 21021,562.19184.peg.2279,unique,Phage packaged DNA stabilization protein_2,59
Cluster 21024,562.22433.peg.3533,accessory,4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)_2,1493
Cluster 21026,562.22446.peg.3902,unique,"IS, phage, Tn; Transposon-related functions_11",54
Cluster 21028,562.22449.peg.3331,unique,Uncharacterized protein YahE_3,19
Cluster 21034,562.22482.peg.3235,unique,Uncharacterized protein YadU in stf fimbrial cluster_14,57
Cluster 21036,562.22520.peg.5332,unique,"Phage tail fiber, side tail fiber protein Stf_57",6
Cluster 21038,562.22542.peg.4500,unique,Transposase InsO for insertion sequence element IS911_18,39
Cluster 21039,562.22563.peg.3492,accessory,Inner membrane ABC transporter permease protein YcjP_3,1740
Cluster 21045,562.22652.peg.5133,unique,"Phage head, portal protein B_26",14
Cluster 21046,562.22655.peg.5033,unique,Antigen 43_21,22
Cluster 21048,562.22692.peg.564,unique,Putative ankyrin repeat protein B_17,82
Cluster 21051,562.22758.peg.1436,accessory,Putative uncharacterized protein YhiS_10,187
Cluster 21056,562.22930.peg.2938,unique,DNA ligase (NAD(+)) (EC 6.5.1.2)_9,6
Cluster 21060,562.22999.peg.3112,unique,AntA/AntB antirepressor domain protein_4,57
Cluster 21061,562.23012.peg.1627,unique,c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeL_9,14
Cluster 21068,562.23351.peg.5013,accessory,Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.8)_5,718
Cluster 21069,562.23368.peg.3740,unique,Uncharacterized sugar kinase YdjH_6,13
Cluster 21074,562.23663.peg.4616,unique,Uncharacterized fimbrial-like protein YraK_7,6
Cluster 21083,562.28838.peg.1888,unique,Mobile element protein_830,90
Cluster 21089,562.42729.peg.1790,unique,"Type IV fimbrial assembly, ATPase PilB_8",6
Cluster 21096,562.42825.peg.4544,unique,O-antigen chain length determinant protein WzzB_23,8
Cluster 21098,562.42849.peg.383,unique,Uncharacterized symporter YidK_7,17
Cluster 21101,562.45400.peg.5114,unique,Dihydropteroate synthase (EC 2.5.1.15)_8,29
Cluster 21110,562.7695.peg.4101,unique,Putative oxidoreductase YncB_10,5
Cluster 21111,562.7704.peg.1791,unique,Protein RhsD_273,17
Cluster 21115,562.7747.peg.4934,unique,Protein RhsD_290,33
Cluster 21117,562.7755.peg.4876,unique,Transposase InsD for insertion element IS2_83,39
Cluster 21118,562.12959.peg.761,core,"Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)_1",1968
Cluster 21119,562.12959.peg.1170,accessory,"Transcriptional regulator, RpiR family_1",1208
Cluster 21128,562.16324.peg.2518,unique,Phage capsid scaffolding protein GpO_5,10
Cluster 21133,562.19633.peg.5144,unique,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_2",93
Cluster 21134,562.22431.peg.3870,unique,Chromosome (plasmid) partitioning protein ParA_6,8
Cluster 21135,562.22431.peg.1323,unique,T6SS component TssG (ImpH/VasB)_6,12
Cluster 21137,562.22436.peg.3346,unique,Phage DNA replication protein O_12,12
Cluster 21138,562.22436.peg.3345,unique,DNA replication helicase loader DnaC/DnaI_2,11
Cluster 21139,562.22441.peg.870,unique,DNA-methyltransferase_1,28
Cluster 21142,562.22452.peg.1978,unique,Uncharacterized protein YadU in stf fimbrial cluster_10,22
Cluster 21148,562.22525.peg.216,core,23S rRNA (guanine(745)-N(1))-methyltransferase (EC 2.1.1.187)_2,1956
Cluster 21150,562.22538.peg.471,unique,Outer membrane usher protein FimD_4,11
Cluster 21151,562.22538.peg.4799,unique,"Phage terminase, large subunit_10",6
Cluster 21152,562.22549.peg.1197,unique,"PTS system, fructose-like IIC component FrwC_2",5
Cluster 21165,562.23040.peg.4558,core,Respiratory nitrate reductase gamma chain (EC 1.7.99.4)_7,1953
Cluster 21170,562.23215.peg.2601,unique,Xylose activator XylR (AraC family)_3,6
Cluster 21172,562.23317.peg.19,unique,Phage recombination protein Bet_14,7
Cluster 21177,562.23472.peg.1768,core,NAD synthetase (EC 6.3.1.5)_2,1948
Cluster 21181,562.23530.peg.1531,unique,Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)_12,8
Cluster 21182,562.23590.peg.4076,unique,c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeR_8,8
Cluster 21188,562.23832.peg.4774,unique,Sugar:proton symporter_10,23
Cluster 21192,562.28805.peg.4652,unique,Transposon Tn7 transposition protein tnsA_6,5
Cluster 21196,562.31449.peg.4790,unique,Phage repressor protein cI_74,5
Cluster 21198,562.42643.peg.4691,unique,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)_95,13
Cluster 21199,562.42643.peg.1206,unique,LPS-core synthesis glycosyltransferase PM0512_5,9
Cluster 21201,562.42701.peg.4626,unique,Phage protein_597,122
Cluster 21203,562.42845.peg.5119,unique,"Phage head, terminase DNA packaging protein A_99",21
Cluster 21204,562.45399.peg.4825,unique,IncF plasmid conjugative transfer protein TraD_57,10
Cluster 21205,562.45399.peg.967,unique,Translation elongation factor Tu_35,5
Cluster 21207,562.7623.peg.1529,unique,"Uncharacterized protein YahF, possible CoA ligase_8",17
Cluster 21208,562.7638.peg.1947,unique,"Phage tail fiber Mup49, S_103",5
Cluster 21217,562.7761.peg.5215,unique,Mobile element protein_1518,26
Cluster 21220,562.12959.peg.815,core,23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)_1,1969
Cluster 21221,562.12959.peg.3723,core,Formyltetrahydrofolate deformylase (EC 3.5.1.10)_1,1970
Cluster 21231,562.13502.peg.1167,accessory,Protein YibA_2,451
Cluster 21233,562.22430.peg.3558,accessory,Phage protein_83,681
Cluster 21234,562.22433.peg.1367,accessory,Uncharacterized protein YadU in stf fimbrial cluster_7,270
Cluster 21235,562.22433.peg.4837,accessory,Uncharacterized protein YjiC_3,843
Cluster 21236,562.22433.peg.3459,unique,Transposase_56,23
Cluster 21237,562.22435.peg.4388,unique,"Distant homology with glucose-6-phosphate isomerase, archaeal_1",96
Cluster 21239,562.22453.peg.2991,unique,Transposon Tn7 transposition protein tnsA_2,82
Cluster 21240,562.22458.peg.3544,unique,UPF0214 protein YfeW_2,5
Cluster 21247,562.22527.peg.4990,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_10,20
Cluster 21248,562.22532.peg.4250,unique,Ser/Thr and Tyr protein phosphatase (dual specificity)_5,11
Cluster 21249,562.22547.peg.1189,unique,Uncharacterized protein YadU in stf fimbrial cluster_15,16
Cluster 21261,562.22921.peg.4662,unique,Putative transposase InsK for insertion sequence element IS150_30,7
Cluster 21266,562.23049.peg.2925,unique,Uncharacterized protein YdcJ_2,7
Cluster 21272,562.23267.peg.4155,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_46,5
Cluster 21277,562.23476.peg.753,core,S-formylglutathione hydrolase (EC 3.1.2.12)_7,1960
Cluster 21283,562.23772.peg.651,unique,Colicin I receptor_32,5
Cluster 21287,562.23857.peg.34,unique,"Type III secretion cytoplasmic ATP synthase (EC 3.6.3.14, YscN,SpaL,MxiB,HrcN,EscN)_7",67
Cluster 21291,562.28998.peg.2213,unique,Putative uncharacterized protein YhcG_9,5
Cluster 21300,562.42818.peg.2811,accessory,Colanic acid biosynthesis glycosyl transferase WcaA_3,1846
Cluster 21307,562.7567.peg.2043,unique,Uncharacterized protein YadU in stf fimbrial cluster_29,5
Cluster 21310,562.7623.peg.4815,unique,Transposase_569,47
Cluster 21313,562.7691.peg.2560,core,Putative outer membrane protein_16,1961
Cluster 21314,562.7705.peg.5444,unique,"Phage tail tip, host specificity protein J_264",10
Cluster 21317,562.12959.peg.3246,core,"N,N'-diacetylchitobiose-specific regulator ChbR, AraC family_1",1954
Cluster 21318,562.12959.peg.1102,core,LysR family transcriptional regulator HdfR_1,1969
Cluster 21321,562.12961.peg.2504,core,Ethanolamine utilization protein EutJ_2,1956
Cluster 21323,562.13502.peg.1272,core,NAD-dependent protein deacetylase of SIR2 family_1,1970
Cluster 21327,562.22434.peg.3108,unique,Uncharacterized protein YadU in stf fimbrial cluster_8,28
Cluster 21328,562.22449.peg.942,unique,Putative transposase InsK for insertion sequence element IS150_15,9
Cluster 21329,562.22452.peg.3372,unique,Glucuronide transporter UidB_3,10
Cluster 21331,562.22458.peg.119,unique,"putative alpha-dextrin endo-1, 6-alpha-glucosidase_1",96
Cluster 21332,562.22477.peg.2957,unique,Low-affinity inorganic phosphate transporter_1,12
Cluster 21340,562.22535.peg.3760,unique,"Beta-glucoside bgl operon antiterminator, BglG family_6",15
Cluster 21343,562.22584.peg.2358,core,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)_1,1963
Cluster 21346,562.22599.peg.1136,unique,"Capsular polysaccharide ABC transporter, permease protein KpsM_4",9
Cluster 21347,562.22600.peg.4626,unique,"Hydrolase, alpha/beta fold family_5",13
Cluster 21349,562.22639.peg.4861,unique,"H repeat-associated protein, YhhI family_29",40
Cluster 21356,562.22671.peg.3929,unique,"Phage protein Mup47, W_11",17
Cluster 21357,562.22697.peg.2109,unique,O-antigen chain length determinant protein WzzB_7,7
Cluster 21358,562.22772.peg.3427,unique,Mobile element protein_436,17
Cluster 21365,562.23006.peg.1461,core,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)_2,1968
Cluster 21367,562.23059.peg.4943,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_96,84
Cluster 21368,562.23083.peg.163,unique,"Trimethylamine-N-oxide reductase associated c-type cytochrome, TorY_4",6
Cluster 21388,562.23750.peg.1549,core,Ferrous iron transport permease EfeU_5,1967
Cluster 21390,562.23855.peg.4664,unique,Putative DNA methylase_4,8
Cluster 21396,562.31464.peg.103,unique,Putative uncharacterized protein YjiT_17,11
Cluster 21409,562.45846.peg.3791,unique,T6SS component TssM (IcmF/VasK)_41,9
Cluster 21410,562.7581.peg.4878,unique,"Phage replication protein GpA, endonuclease_84",5
Cluster 21413,562.7684.peg.5312,accessory,Phage antitermination protein @ Phage antitermination protein Q_2,986
Cluster 21418,562.7788.peg.4741,unique,Insertion element IS600 (Shigella sonnei) transposase_23,8
Cluster 21419,562.7790.peg.5607,unique,IncF plasmid conjugative transfer protein TraN_43,7
Cluster 21420,562.7790.peg.3241,unique,Glutamate decarboxylase (EC 4.1.1.15)_62,7
Cluster 21421,562.12959.peg.4216,accessory,Phage capsid scaffolding protein GpO_1,479
Cluster 21422,562.12959.peg.492,accessory,"ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines)_1",1192
Cluster 21423,562.12959.peg.697,core,Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)_1,1970
Cluster 21424,562.12959.peg.2715,core,S-formylglutathione hydrolase (EC 3.1.2.12)_1,1965
Cluster 21425,562.12960.peg.4859,accessory,putative antirepressor_1,177
Cluster 21426,562.12960.peg.4086,accessory,"Beta-glucoside bgl operon antiterminator, BglG family_1",1628
Cluster 21437,562.13502.peg.4571,accessory,Putative aldolase YdjI_1,1214
Cluster 21438,562.16325.peg.4004,unique,Uncharacterized protein YgeP_2,107
Cluster 21444,562.22435.peg.259,unique,L-galactonate transporter_6,63
Cluster 21445,562.22447.peg.4241,accessory,IncI1 plasmid conjugative transfer protein TraI_2,201
Cluster 21446,562.22452.peg.2791,unique,Uncharacterized fimbrial-like protein YadC_5,21
Cluster 21449,562.22464.peg.477,unique,Phage capsid scaffolding protein GpO_9,8
Cluster 21451,562.22477.peg.1278,unique,Periplasmic alpha-amylase (EC 3.2.1.1)_4,7
Cluster 21452,562.22492.peg.1066,core,"4,5-DOPA dioxygenase extradiol (EC 1.13.11.29), but not physiological substrate_1",1968
Cluster 21454,562.22513.peg.2980,unique,Primosomal protein I_6,92
Cluster 21458,562.22535.peg.4568,unique,"Zinc ABC transporter, ATP-binding protein ZnuC_2",8
Cluster 21463,562.22596.peg.187,unique,Outer membrane porin OmpC_4,10
Cluster 21468,562.22659.peg.254,unique,Phage capsid scaffolding protein GpO_17,70
Cluster 21480,562.22865.peg.4830,unique,Mobile element protein_463,6
Cluster 21491,562.23400.peg.2434,unique,Inner membrane protein CreD_11,5
Cluster 21492,562.23422.peg.3711,accessory,probable sufite oxidase (EC 1.8.3.1)_8,399
Cluster 21493,562.23438.peg.4042,core,Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)_4,1964
Cluster 21500,562.23773.peg.2603,unique,UPF0118 inner membrane protein YhhT_4,5
Cluster 21514,562.42825.peg.3180,accessory,Putative SPFH domain protein_1,198
Cluster 21515,562.42838.peg.1570,unique,Uncharacterized protein YfaA_11,7
Cluster 21521,562.7572.peg.2957,unique,"ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines)_9",10
Cluster 21524,562.7681.peg.4002,unique,Transposase InsF for insertion sequence IS3 @ Mobile element protein_64,22
Cluster 21526,562.7734.peg.3192,unique,Cellulose biosynthesis protein BcsG_19,9
Cluster 21527,562.7742.peg.5122,unique,General secretion pathway protein L_16,11
Cluster 21528,562.7750.peg.963,unique,Phage protein_774,43
Cluster 21529,562.7778.peg.4661,unique,Mobile element protein_1522,13
Cluster 21531,562.12959.peg.791,core,"Nickel ABC transporter, permease protein NikC (TC 3.A.1.5.3)_1",1968
Cluster 21532,562.12959.peg.2451,core,Sulfate transport system permease protein CysT_1,1970
Cluster 21533,562.12959.peg.3276,core,Phosphoenolpyruvate synthase regulatory protein_1,1969
Cluster 21534,562.12959.peg.4012,core,Curli production assembly/transport component CsgG_1,1964
Cluster 21535,562.12959.peg.491,accessory,"ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)_1",1203
Cluster 21536,562.12959.peg.3749,core,Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)_1,1967
Cluster 21544,562.13502.peg.3898,accessory,AntA/AntB antirepressor domain protein_1,272
Cluster 21545,562.16327.peg.335,accessory,Inner membrane transport protein YhaO_2,230
Cluster 21546,562.22432.peg.1936,unique,Membrane fusion component MdtO of tripartite multidrug resistance system_2,11
Cluster 21548,562.22452.peg.4152,unique,"Outer membrane and periplasm component of type IV secretion of T-DNA complex, has secretin-like domain, VirB9_4",15
Cluster 21549,562.22454.peg.265,unique,Diguanylate cyclase (EC 2.7.7.65) => DgcJ_2,21
Cluster 21550,562.22458.peg.116,unique,"Maltodextrin ABC transporter, permease protein MdxG_3",104
